impl_name,scenario,N,ns_per_op
std_vector,WRITE_RANDOM,10000,9.77
std_vector_direct,WRITE_RANDOM,10000,4.88
go_slice_int64,WRITE_RANDOM,100000,9.993
numpy_int64,WRITE_RANDOM,100000,1545.433
py_array_q,WRITE_RANDOM,100000,1032.918
py_list,WRITE_RANDOM,100000,923.552
rust_vec_i64,WRITE_RANDOM,100000,4.855
sec3,WRITE_RANDOM,100000,48.013
sec4,WRITE_RANDOM,100000,43.96
std_vector,WRITE_RANDOM,100000,12.845
std_vector_direct,WRITE_RANDOM,100000,9.263
go_slice_int64,WRITE_RANDOM,1000000,46.5808
numpy_int64,WRITE_RANDOM,1000000,1158.6424
py_array_q,WRITE_RANDOM,1000000,973.4604
py_list,WRITE_RANDOM,1000000,1182.3134
rust_vec_i64,WRITE_RANDOM,1000000,15.9634
sec3,WRITE_RANDOM,1000000,135.0084
sec4,WRITE_RANDOM,1000000,202.9742
std_vector,WRITE_RANDOM,1000000,43.4662
std_vector_direct,WRITE_RANDOM,1000000,36.4457
go_slice_int64,WRITE_RANDOM,10000000,58.3835
numpy_int64,WRITE_RANDOM,10000000,1096.6687
py_array_q,WRITE_RANDOM,10000000,1025.0535
py_list,WRITE_RANDOM,10000000,1247.1177
rust_vec_i64,WRITE_RANDOM,10000000,19.3538
sec3,WRITE_RANDOM,10000000,103.9553
sec4,WRITE_RANDOM,10000000,151.7761
std_vector,WRITE_RANDOM,10000000,51.5843
std_vector_direct,WRITE_RANDOM,10000000,31.9192
go_slice_int64,WRITE_RANDOM,100000000,88.6425
numpy_int64,WRITE_RANDOM,100000000,1162.8094
py_array_q,WRITE_RANDOM,100000000,1076.831
py_list,WRITE_RANDOM,100000000,1221.3533
rust_vec_i64,WRITE_RANDOM,100000000,32.1665
sec3,WRITE_RANDOM,100000000,109.4646
sec4,WRITE_RANDOM,100000000,160.1748
std_vector,WRITE_RANDOM,100000000,60.1688
std_vector_direct,WRITE_RANDOM,100000000,38.3977
go_slice_int64,WRITE_SEQUENTIAL,1000,0.0
numpy_int64,WRITE_SEQUENTIAL,1000,371.0
py_array_q,WRITE_SEQUENTIAL,1000,121.5
py_list,WRITE_SEQUENTIAL,1000,74.5
rust_vec_i64,WRITE_SEQUENTIAL,1000,0.2
sec3,WRITE_SEQUENTIAL,1000,18.3
sec4,WRITE_SEQUENTIAL,1000,15.9
std_vector,WRITE_SEQUENTIAL,1000,5.5
std_vector_direct,WRITE_SEQUENTIAL,1000,0.5
